namespace,archive,dataset,prefix,auc_mean,auc_std,auc_min,auc_max,simple_regret_mean,simple_regret_std,simple_regret_min,simple_regret_max,rounds_to_threshold_mean,rounds_to_threshold_std,rounds_to_threshold_min,rounds_to_threshold_max,initial_value_mean,initial_value_std,initial_value_min,initial_value_max,final_value_mean,final_value_std,final_value_min,final_value_max,improvement_pct_mean,improvement_pct_std,improvement_pct_min,improvement_pct_max,test_random_forest.r2,test_random_forest.mse,test_random_forest.mae,test_grad_boost.r2,test_grad_boost.mse,test_grad_boost.mae,test_k_neighbors.r2,test_k_neighbors.mse,test_k_neighbors.mae,test_neural_net.r2,test_neural_net.mse,test_neural_net.mae,test_linear.r2,test_linear.mse,test_linear.mae
molecule_similarity__fp__qm9_smiles,molecule_similarity__fp__qm9_smiles/ex_08_a__15_07_2026__17_06__3Wui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
molecule_similarity__fp__qm9_smiles,molecule_similarity__fp__qm9_smiles/ex_08_a__15_07_2026__17_07__L7ZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
molecule_similarity__hdc__qm9_smiles,molecule_similarity__hdc__qm9_smiles/ex_08_a__15_07_2026__17_06__hRaU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
molecule_similarity__hdc__qm9_smiles,molecule_similarity__hdc__qm9_smiles/ex_08_a__15_07_2026__17_06__lTdn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optimize_molecule_bo__fp__clogp,optimize_molecule_bo__fp__clogp/15_07_2026__17_07__e3EM,,,83.24465036392212,0.7036519050598145,82.5409984588623,83.94830226898193,7.602810049591033,0.06265020370483398,7.540159845886199,7.665460253295867,11.0,0.0,11.0,11.0,8.471049785614014,0.2169499397277832,8.25409984588623,8.687999725341797,8.316750049591064,0.06265020370483398,8.25409984588623,8.379400253295898,1.7760099090804111,1.7760099090804111,0.0,3.5520198181608222,,,,,,,,,,,,,,,
optimize_molecule_bo__hdc__clogp,optimize_molecule_bo__hdc__clogp/15_07_2026__17_07__2TuD,,,53.67810678482056,27.850059986114502,25.828046798706055,81.52816677093506,-3.3325198423028723e-07,0.0,-3.3325198423028723e-07,-3.3325198423028723e-07,11.0,0.0,11.0,11.0,8.494099617004395,0.3046998977661133,8.189399719238281,8.798799514770508,0.7139396667480469,0.0,0.7139396667480469,0.7139396667480469,91.5840456571082,0.3018966745751186,91.28214898253309,91.88594233168332,,,,,,,,,,,,,,,
optimize_molecule_bo__random__clogp,optimize_molecule_bo__random__clogp/15_07_2026__17_07__qQFH,,,83.44307255744934,1.1932246685028076,82.24984788894653,84.63629722595215,7.47545971923825,0.0,7.47545971923825,7.47545971923825,11.0,0.0,11.0,11.0,8.471049785614014,0.2169499397277832,8.25409984588623,8.687999725341797,8.189399719238281,0.0,8.189399719238281,8.189399719238281,3.261402475020473,2.477548052903261,0.7838544221172121,5.738950527923734,,,,,,,,,,,,,,,
predict_molecules__fp__aqsoldb,predict_molecules__fp__aqsoldb/15_07_2026__17_06__ft24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predict_molecules__fp__bace,predict_molecules__fp__bace/15_07_2026__17_05__HZ6Y,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4751834179860457,1.389986293273247,0.9446812535695586,0.1712596419275021,2.194933959560954,1.2212445457718937,0.7530457756938698,0.6540627690043547,0.5961646286666666,0.5263932036750374,1.2543562415016238,0.8456217232861104,0.6673742131365836,0.880965465601626,0.7628053314899669
predict_molecules__fp__clogp,predict_molecules__fp__clogp/15_07_2026__17_06__UeSm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predict_molecules__fp__hopv15_exp,predict_molecules__fp__hopv15_exp/15_07_2026__17_05__JOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predict_molecules__hdc__aqsoldb,predict_molecules__hdc__aqsoldb/15_07_2026__17_05__KQRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5548086569958306,1.606715208672874,0.9697544226358108,,,
predict_molecules__hdc__bace,predict_molecules__hdc__bace/15_07_2026__17_05__VR8Q,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5488434233220292,1.1948964251396044,0.9120141519769746,0.35779323692815745,1.700896329707635,1.1140156564960093,0.5926574011590721,1.0788543054078616,0.843974358,0.35101684661423127,1.7188437230961626,0.9116453762519555,0.03807387008560448,2.5476789063933185,1.3229287988448457
predict_molecules__hdc__clogp,predict_molecules__hdc__clogp/15_07_2026__17_06__LE8N,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3275261159249909,20.689924704698278,2.4179720275655057,0.22343815307270942,23.892386785499205,2.860253311175855,0.3367722936001858,20.405448646316948,2.6211580358879014,0.4935057701969966,15.583248251198112,1.7931094041802818,0.2639507481085195,22.64594055058587,2.6106935357775343
predict_molecules__hdc__hopv15_exp,predict_molecules__hdc__hopv15_exp/15_07_2026__17_05__Zj4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
